Player,Span,Squad,90s,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,KP,1/3,PPA,CrsPA,Prog,Pass TypesLive,Pass TypesDead,Pass TypesFK,Pass TypesTB,Pass TypesPress,Pass TypesSw,Pass TypesCrs,Pass TypesCK,HeightGround,HeightLow,HeightHigh,OutcomesCmp,OutcomesOff,OutcomesOut,OutcomesInt,OutcomesBlocks,TacklesTkl,TacklesTklW,TacklesDef 3rd,TacklesMid 3rd,TacklesAtt 3rd,Vs DribblesTkl,Vs DribblesAtt,Vs DribblesTkl%,Vs DribblesPast,PressuresPress,PressuresSucc,Pressures%,PressuresDef 3rd,PressuresMid 3rd,PressuresAtt 3rd,BlocksBlocks,BlocksSh,BlocksShSv,BlocksPass,Int,Tkl+Int,Clr,TouchesTouches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,DribblesSucc,DribblesAtt,DribblesSucc%,Dribbles#Pl,DribblesMegs,CarriesCarries,CarriesTotDist,CarriesPrgDist,CarriesProg,Carries44564,CarriesCPA,CarriesMis,CarriesDis,StandardGls,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardDist,StandardFK,StandardPK,StandardPKatt,Per 90 MinutesG-PK,Per 90 MinutesPK,Per 90 MinutesPKatt,Per 90 MinutesCrdY,Per 90 MinutesCrdR,Per 90 MinutesG+A-PK,Per 90 MinutesxA
Albert Rusnák,2021,Real Salt Lake,33.8,40.7,48.7,83.6,839.3,226.9,16.4,17.9,91.4,16,17.6,90.9,7.78,12.1,64.3,0.21,2.57,3.91,0.92,0.12,4.29,40.9,7.84,2.96,0.15,7.19,3.85,1.36,4.05,34.7,4.35,9.67,40.7,0.18,0.44,1.01,0.71,0.71,0.47,0.47,0.15,0.09,0.21,0.74,28,0.53,11.5,3.31,28.7,2.99,5.59,2.96,0.65,0.12,0,0.53,0.74,1.45,0.36,56,0.59,7.13,29.4,23.8,3.17,48.2,0.83,1.21,68.3,0.83,0.15,38.1,227.9,115.5,6.21,2.19,0.83,1.09,0.92,0.33,45.2,1.83,0.83,0.13,0.29,19,0.12,0.09,0.09,0.24,0.09,0.09,0.18,0,0.44,0.21
Nicolás Lodeiro,2022,Seattle,19.7,61.2,76.4,80.1,1104.2,356.9,28.2,31.2,90.2,22.7,27.4,83.1,8.17,14,58.5,0.3,2.23,6.5,2.74,0.76,8.12,68.9,7.46,2.39,0.41,10.5,3.05,3.25,3.4,57,6.6,12.8,61.2,0.66,1.62,2.44,1.62,1.12,0.76,0.3,0.51,0.3,0.36,1.73,20.6,1.37,22.3,5.48,24.5,5.23,11.6,5.48,1.07,0.05,0,1.02,1.27,2.39,0.56,87.7,0.66,10.7,47.7,35.6,2.69,80.4,0.51,1.32,38.5,0.51,0.25,61.8,309.5,150.7,7.56,2.49,0.25,2.03,1.93,0.25,29.2,1.22,0.35,0.04,0.14,20.5,0.2,0.2,0.2,0.05,0.2,0.2,0.25,0,0.35,0.27
