 
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2021-05-02,Sun,MLS,Regular Season,Home,W 3–0,Seattle,LA Galaxy,N,FW,25,27,33,81.8,469,129,14,14,100.0,7,10,70.0,5,8,62.5,0,0.0,1,1,3,1,4,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-04,Wed,MLS,Regular Season,Home,D 1–1,Seattle,FC Dallas,N,RW,4,2,3,66.7,48,21,0,0,,2,2,100.0,0,0,,0,0.0,0,0,1,0,1,Match Report
2021-08-15,Sun,MLS,Regular Season,Away,W 6–2,Seattle,Portland Timbers,N,AMFW,45,17,24,70.8,297,117,10,10,100.0,3,7,42.9,3,6,50.0,0,0.0,1,2,1,0,5,Match Report
2021-08-18,Wed,MLS,Regular Season,Away,W 1–0,Seattle,FC Dallas,N,LW,28,11,17,64.7,192,37,6,10,60.0,4,5,80.0,1,1,100.0,0,0.1,1,1,1,1,0,Match Report
2021-08-21,Sat,MLS,Regular Season,Away,W 2–1,Seattle,Columbus Crew,Y*,AM,82,44,57,77.2,599,136,27,28,96.4,15,19,78.9,0,4,0.0,0,0.1,1,3,0,0,4,Match Report
2021-08-29,Sun,MLS,Regular Season,Home,L 0–2,Seattle,Portland Timbers,Y*,AMDM,90,49,63,77.8,805,290,28,31,90.3,14,18,77.8,6,11,54.5,0,0.4,5,6,0,0,5,Match Report
2021-09-11,Sat,MLS,Regular Season,Home,W 1–0,Seattle,Minnesota Utd,Y*,LW,90,49,60,81.7,842,245,26,30,86.7,16,20,80.0,6,9,66.7,0,0.3,2,9,1,0,6,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-26,Tue,MLS,Regular Season,Away,L 0–3,Seattle,Los Angeles FC,N,AM,24,22,25,88.0,343,138,10,11,90.9,8,8,100.0,2,4,50.0,0,0.0,2,2,0,0,3,Match Report
2021-11-01,Mon,MLS,Regular Season,Home,D 1–1,Seattle,LA Galaxy,Y*,AM,72,31,44,70.5,472,200,17,19,89.5,10,14,71.4,2,6,33.3,0,0.0,0,5,2,0,6,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-23,Tue,MLS,First Round,Home,D 0 (5)–0 (6),Seattle,Real Salt Lake,N,LW,17,6,19,31.6,130,60,1,2,50.0,3,6,50.0,2,9,22.2,0,0.0,1,1,0,0,2,Match Report
,,,,,5-3-2,,,4/10,,477,258,345,74.8,4197,1373,139,155,89.7,82,109,75.2,27,58,46.6,0,1.0,14,30,9,2,36,
