
 
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2019-03-02,Sat,MLS,Regular Season,Home,W 4–1,Seattle,FC Cincinnati,Y*,AM,90,84,101,83.2,1484,328,42,49,85.7,34,36,94.4,8,15,53.3,1,0.5,7,8,2,1,8,Match Report
2019-03-09,Sat,MLS,Regular Season,Home,W 2–0,Seattle,Colorado Rapids,Y*,AM,90,74,93,79.6,1560,504,27,33,81.8,33,36,91.7,13,20,65.0,0,0.4,1,9,5,0,18,Match Report
2019-03-16,Sat,MLS,Regular Season,Away,W 4–2,Seattle,Chicago Fire,Y*,AM,71,41,54,75.9,724,202,21,24,87.5,10,13,76.9,8,12,66.7,1,0.4,2,6,1,0,6,Match Report
2019-03-30,Sat,MLS,Regular Season,Away,D 0–0,Seattle,Vancouver,Y*,AMCM,90,59,80,73.8,1034,299,27,30,90.0,25,34,73.5,6,15,40.0,0,0.3,2,7,0,0,7,Match Report
2019-04-06,Sat,MLS,Regular Season,Home,W 1–0,Seattle,Real Salt Lake,Y*,AM,90,52,78,66.7,1085,315,19,23,82.6,25,30,83.3,8,23,34.8,0,0.2,1,5,5,1,9,Match Report
2019-04-13,Sat,MLS,Regular Season,Home,W 3–2,Seattle,Toronto FC,Y*,AM,90,62,80,77.5,1069,391,31,37,83.8,22,26,84.6,9,16,56.3,0,0.0,1,5,3,0,13,Match Report
2019-04-21,Sun,MLS,Regular Season,Away,L 1–4,Seattle,Los Angeles FC,Y*,AM,90,31,52,59.6,519,144,10,16,62.5,18,23,78.3,1,7,14.3,0,0.0,0,3,2,0,4,Match Report
2019-04-24,Wed,MLS,Regular Season,Home,D 2–2,Seattle,San Jose,Y*,AM,90,62,86,72.1,1296,490,24,30,80.0,23,25,92.0,14,22,63.6,1,0.4,8,3,3,0,7,Match Report
2019-04-28,Sun,MLS,Regular Season,Home,D 1–1,Seattle,Los Angeles FC,Y*,AM,90,19,37,51.4,343,109,9,15,60.0,7,9,77.8,3,9,33.3,0,0.1,1,0,0,0,0,Match Report
2019-05-04,Sat,MLS,Regular Season,Away,D 1–1,Seattle,Minnesota Utd,Y*,AMCM,90,71,85,83.5,1467,505,29,32,90.6,29,31,93.5,13,21,61.9,0,0.7,4,7,3,2,7,Match Report
2019-05-11,Sat,MLS,Regular Season,Home,W 1–0,Seattle,Houston Dynamo,Y*,AM,90,60,83,72.3,1130,417,29,33,87.9,22,28,78.6,9,20,45.0,0,0.1,1,8,2,0,11,Match Report
2019-05-15,Wed,MLS,Regular Season,Home,W 2–1,Seattle,Orlando City,Y*,AM,90,73,90,81.1,1483,395,22,26,84.6,40,45,88.9,11,18,61.1,1,0.3,2,9,2,2,7,Match Report
2019-05-18,Sat,MLS,Regular Season,Away,D 0–0,Seattle,Philadelphia,Y*,FW,90,34,48,70.8,730,290,12,15,80.0,12,15,80.0,9,15,60.0,0,0.1,4,4,0,0,6,Match Report
2019-05-26,Sun,MLS,Regular Season,Away,L 2–3,Seattle,Sporting KC,Y*,AMCM,90,49,64,76.6,1146,353,20,21,95.2,14,21,66.7,15,22,68.2,1,0.0,1,4,0,0,4,Match Report
2019-06-07,Fri,Friendlies (M),Friendlies (M),Home,W 3–0,uy Uruguay,pa Panama,Y,DM,63,,,,,,,,,,,,,,,0,,,,,,,Match Report
2019-06-16,Sun,Copa América,Group stage,Neutral,W 4–0,uy Uruguay,ec Ecuador,Y,LM,74,,,,,,,,,,,,,,,0,,,,,,,Match Report
2019-06-20,Thu,Copa América,Group stage,Neutral,D 2–2,uy Uruguay,jp Japan,Y,LM,72,,,,,,,,,,,,,,,1,,,,,,,Match Report
2019-06-24,Mon,Copa América,Group stage,Neutral,W 1–0,uy Uruguay,cl Chile,Y,LW,45,,,,,,,,,,,,,,,0,,,,,,,Match Report
2019-07-06,Sat,MLS,Regular Season,Away,W 2–1,Seattle,Columbus Crew,Y*,AM,90,32,46,69.6,674,203,14,17,82.4,10,17,58.8,8,10,80.0,0,0.0,1,5,1,1,4,Match Report
2019-07-14,Sun,MLS,Regular Season,Home,W 2–1,Seattle,Atlanta Utd,Y*,AM,90,67,89,75.3,1115,393,37,42,88.1,23,28,82.1,6,15,40.0,0,0.9,7,8,4,0,13,Match Report
2019-07-21,Sun,MLS,Regular Season,Home,L 1–2,Seattle,Portland Timbers,Y*,AM,90,63,91,69.2,1227,440,31,38,81.6,18,23,78.3,13,29,44.8,0,1.2,6,9,3,1,5,Match Report
2019-07-27,Sat,MLS,Regular Season,Away,W 1–0,Seattle,Houston Dynamo,Y*,AMFW,90,33,43,76.7,663,166,15,15,100.0,14,19,73.7,4,9,44.4,0,0.1,1,8,0,0,4,Match Report
2019-08-04,Sun,MLS,Regular Season,Home,L 2–3,Seattle,Sporting KC,Y*,AM,90,70,91,76.9,1331,415,30,33,90.9,28,32,87.5,12,23,52.2,1,0.5,5,10,2,1,9,Match Report
2019-08-10,Sat,MLS,Regular Season,Home,D 3–3,Seattle,New England,Y*,AM,90,62,90,68.9,1331,545,22,26,84.6,28,35,80.0,11,26,42.3,0,0.2,3,9,6,2,12,Match Report
2019-08-14,Wed,MLS,Regular Season,Away,L 0–3,Seattle,Real Salt Lake,Y*,CM,90,61,88,69.3,1122,199,27,29,93.1,24,32,75.0,10,21,47.6,0,0.1,2,8,0,0,5,Match Report
2019-08-17,Sat,MLS,Regular Season,Away,D 2–2,Seattle,LA Galaxy,Y*,AMCM,90,71,101,70.3,1560,416,26,32,81.3,28,39,71.8,17,29,58.6,0,1.4,6,5,5,3,10,Match Report
2019-08-23,Fri,MLS,Regular Season,Away,W 2–1,Seattle,Portland Timbers,Y*,AM,90,66,82,80.5,1086,338,33,36,91.7,27,32,84.4,4,11,36.4,0,0.0,1,4,1,0,8,Match Report
2019-09-01,Sun,MLS,Regular Season,Home,W 4–3,Seattle,LA Galaxy,Y*,AM,90,44,61,72.1,854,396,22,27,81.5,13,18,72.2,9,14,64.3,1,1.0,4,6,2,0,4,Match Report
2019-09-07,Sat,MLS,Regular Season,Away,L 0–2,Seattle,Colorado Rapids,Y*,AMCM,90,64,87,73.6,1339,394,21,26,80.8,31,34,91.2,11,24,45.8,0,0.1,2,11,2,1,10,Match Report
2019-09-15,Sun,MLS,Regular Season,Home,W 4–2,Seattle,NY Red Bulls,Y*,AMFW,90,37,59,62.7,587,272,18,22,81.8,10,16,62.5,6,13,46.2,0,0.3,4,1,1,0,5,Match Report
2019-09-18,Wed,MLS,Regular Season,Home,D 0–0,Seattle,FC Dallas,Y*,AM,90,64,77,83.1,1222,322,22,25,88.0,34,40,85.0,6,8,75.0,0,0.1,3,8,2,1,7,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-06,Sun,MLS,Regular Season,Home,W 1–0,Seattle,Minnesota Utd,Y*,AM,87,45,64,70.3,789,323,20,24,83.3,18,23,78.3,6,13,46.2,0,0.4,3,3,4,0,7,Match Report
2019-10-19,Sat,MLS,Round 1,Home,W 4–3,Seattle,FC Dallas,Y*,AM,120,55,83,66.3,1001,420,27,32,84.4,19,27,70.4,8,21,38.1,0,0.7,5,8,7,1,12,Match Report
2019-10-23,Wed,MLS,Conference Semifinals,Home,W 2–0,Seattle,Real Salt Lake,Y*,AMLW,90,38,58,65.5,715,384,19,22,86.4,11,16,68.8,7,17,41.2,1,0.6,5,4,4,1,7,Match Report
2019-10-29,Tue,MLS,Conference Finals,Away,W 3–1,Seattle,Los Angeles FC,Y*,AMCM,90,28,39,71.8,442,191,13,16,81.3,12,16,75.0,2,3,66.7,2,0.6,4,4,0,0,5,Match Report
2019-11-10,Sun,MLS,MLS Cup 2019,Home,W 3–1,Seattle,Toronto FC,Y*,AMRW,90,31,60,51.7,579,199,15,25,60.0,10,15,66.7,5,17,29.4,1,0.6,5,4,2,1,6,Match Report
,,,,,21-9-6,,,36/36,,3142,1702,2340,72.7,32707,10758,734,871,84.3,672,834,80.6,272,538,50.6,12,12.4,102,193,74,19,240,
