 
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2022-02-27,Sun,MLS,Regular Season,Home,L 0–1,Seattle,Nashville,N,AM,45,20,32,62.5,344,175,7,10,70.0,11,17,64.7,1,3,33.3,0,0.0,1,2,1,0,4,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-02,Sat,MLS,Regular Season,Away,W 2–1,Seattle,Minnesota Utd,Y*,AM,45,34,41,82.9,550,95,19,21,90.5,12,13,92.3,3,6,50.0,1,0.5,2,1,1,0,3,Match Report
2022-04-16,Sat,MLS,Regular Season,Home,L 0–1,Seattle,Inter Miami,N,LW,6,12,14,85.7,231,68,7,7,100.0,3,5,60.0,2,2,100.0,0,0.0,0,1,3,1,3,Match Report
2022-04-23,Sat,MLS,Regular Season,Away,L 3–4,Seattle,San Jose,Y*,AM,82,43,55,78.2,682,276,24,30,80.0,12,14,85.7,5,8,62.5,2,0.9,2,1,3,1,7,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-15,Sun,MLS,Regular Season,Home,W 3–1,Seattle,Minnesota Utd,Y*,AM,90,67,80,83.8,985,322,40,43,93.0,18,25,72.0,6,8,75.0,0,0.2,1,5,5,1,9,Match Report
2022-05-18,Wed,MLS,Regular Season,Away,W 1–0,Seattle,Houston Dynamo,Y*,AMDM,90,65,81,80.2,1074,311,36,39,92.3,20,27,74.1,8,12,66.7,0,0.1,2,4,3,1,7,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-29,Sun,MLS,Regular Season,Home,W 2–1,Seattle,Charlotte FC,Y*,AMDM,90,58,84,69.0,898,299,30,36,83.3,16,22,72.7,7,16,43.8,0,0.1,3,5,0,0,5,Match Report
2022-06-14,Tue,MLS,Regular Season,Home,W 4–0,Seattle,Vancouver,Y*,DMAM,87,83,95,87.4,1609,454,34,36,94.4,33,36,91.7,15,22,68.2,0,0.1,3,7,3,1,11,Match Report
2022-06-18,Sat,MLS,Regular Season,Home,D 1–1,Seattle,Los Angeles FC,Y*,AM,90,46,61,75.4,752,269,24,26,92.3,15,17,88.2,5,13,38.5,0,0.0,1,5,1,0,7,Match Report
2022-06-25,Sat,MLS,Regular Season,Home,W 3–0,Seattle,Sporting KC,Y*,AM,79,38,45,84.4,667,223,19,23,82.6,12,14,85.7,6,6,100.0,0,0.0,0,4,1,0,5,Match Report
2022-06-29,Wed,MLS,Regular Season,Home,L 1–2,Seattle,CF Montréal,Y*,AMDM,90,69,82,84.1,1243,355,31,33,93.9,26,28,92.9,9,17,52.9,0,0.0,0,4,5,1,11,Match Report
2022-07-02,Sat,MLS,Regular Season,Away,W 2–0,Seattle,Toronto FC,Y*,DMFW,90,56,66,84.8,1001,318,27,30,90.0,20,25,80.0,7,8,87.5,1,0.5,1,4,1,0,9,Match Report
2022-07-09,Sat,MLS,Regular Season,Home,L 0–3,Seattle,Portland Timbers,Y*,DMAM,90,73,89,82.0,1428,556,29,30,96.7,30,35,85.7,12,21,57.1,0,0.3,4,7,8,3,14,Match Report
2022-07-13,Wed,MLS,Regular Season,Away,L 0–1,Seattle,Nashville,Y*,DMCM,90,64,76,84.2,1259,345,20,20,100.0,37,44,84.1,7,11,63.6,0,0.0,1,12,1,0,5,Match Report
2022-07-16,Sat,MLS,Regular Season,Away,L 0–1,Seattle,Chicago Fire,Y*,AMDM,90,48,64,75.0,1068,436,20,21,95.2,13,17,76.5,14,23,60.9,0,0.5,4,8,2,0,7,Match Report
2022-07-23,Sat,MLS,Regular Season,Home,W 2–1,Seattle,Colorado Rapids,Y*,AMDMCM,90,54,67,80.6,1092,287,22,26,84.6,19,24,79.2,10,13,76.9,0,0.5,3,6,4,2,9,Match Report
2022-07-29,Fri,MLS,Regular Season,Away,L 1–2,Seattle,Los Angeles FC,Y*,AMCM,90,45,64,70.3,801,241,19,26,73.1,18,22,81.8,5,10,50.0,0,0.3,5,6,0,0,4,Match Report
2022-08-02,Tue,MLS,Regular Season,Home,W 1–0,Seattle,FC Dallas,Y*,AMLW,90,50,65,76.9,769,242,26,27,96.3,16,20,80.0,4,13,30.8,0,0.4,2,8,1,0,4,Match Report
2022-08-06,Sat,MLS,Regular Season,Away,L 1–2,Seattle,Atlanta Utd,Y*,AMDM,90,81,90,90.0,1691,603,32,35,91.4,32,34,94.1,15,19,78.9,0,0.2,3,8,2,0,13,Match Report
2022-08-14,Sun,MLS,Regular Season,Home,L 1–2,Seattle,Real Salt Lake,Y*,AMDM,90,83,106,78.3,1462,555,44,46,95.7,30,36,83.3,7,17,41.2,1,0.2,3,16,5,2,9,Match Report
2022-08-19,Fri,MLS,Regular Season,Away,D 3–3,Seattle,LA Galaxy,Y*,AM,82,60,71,84.5,989,308,28,31,90.3,24,26,92.3,5,11,45.5,1,0.6,3,8,3,2,6,Match Report
2022-08-26,Fri,MLS,Regular Season,Away,L 1–2,Seattle,Portland Timbers,Y*,AMCMDM,90,57,77,74.0,1158,293,17,19,89.5,31,38,81.6,8,16,50.0,0,0.0,0,6,1,0,8,Match Report
,,,,,9-2-11,,,20/22,,1776,1206,1505,80.1,21753,7031,555,615,90.2,448,539,83.1,161,275,58.5,6,5.4,44,128,54,15,160,
